iter	Passed	Remaining
0	143	143130
1	144	72343
2	146	48685
3	147	36834
4	149	29768
5	151	25059
6	152	21686
7	154	19149
8	156	17178
9	157	15629
10	159	14332
11	160	13255
12	162	12344
13	164	11581
14	166	10919
15	167	10325
16	169	9808
17	171	9347
18	172	8925
19	174	8548
20	176	8208
21	177	7897
22	179	7614
23	181	7376
24	184	7185
25	185	6964
26	187	6762
27	189	6574
28	191	6403
29	192	6234
30	194	6077
31	196	5936
32	197	5797
33	199	5669
34	201	5547
35	202	5433
36	204	5328
37	206	5223
38	208	5129
39	210	5048
40	211	4958
41	213	4873
42	215	4799
43	217	4731
44	219	4655
45	221	4585
46	222	4513
47	224	4446
48	226	4387
49	227	4326
50	229	4270
51	231	4216
52	233	4163
53	234	4110
54	236	4059
55	237	4007
56	239	3962
57	241	3924
58	243	3880
59	244	3835
60	246	3793
61	247	3750
62	249	3709
63	250	3669
64	252	3632
65	254	3595
66	255	3563
67	256	3519
68	258	3486
69	259	3453
70	261	3421
71	262	3389
72	264	3358
73	266	3329
74	267	3300
75	269	3274
76	271	3248
77	272	3223
78	274	3197
79	275	3172
80	277	3148
81	278	3123
82	280	3098
83	281	3074
84	282	3045
85	284	3024
86	285	2999
87	287	2979
88	288	2958
89	290	2937
90	292	2917
91	293	2897
92	295	2877
93	296	2858
94	298	2841
95	300	2826
96	301	2808
97	303	2793
98	305	2780
99	306	2762
100	308	2745
101	309	2723
102	310	2707
103	312	2690
104	313	2676
105	315	2664
106	317	2652
107	319	2637
108	320	2622
109	322	2608
110	323	2594
111	325	2582
112	327	2569
113	329	2558
114	331	2549
115	332	2535
116	334	2525
117	336	2513
118	337	2499
119	339	2487
120	340	2476
121	342	2465
122	343	2449
123	345	2439
124	347	2429
125	348	2418
126	350	2408
127	351	2394
128	352	2383
129	354	2374
130	356	2365
131	358	2356
132	360	2346
133	361	2336
134	363	2327
135	365	2319
136	366	2310
137	368	2299
138	369	2291
139	371	2281
140	372	2272
141	374	2264
142	376	2255
143	378	2247
144	380	2241
145	381	2233
146	383	2225
147	385	2217
148	386	2209
149	389	2206
150	391	2199
151	392	2191
152	394	2182
153	395	2174
154	397	2167
155	399	2160
156	400	2152
157	402	2144
158	404	2139
159	406	2133
160	408	2126
161	409	2120
